photon_energy_ev,v0,v1,v2
1.800000000000000044e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805050505050505016e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.810101010101010210e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.815151515151515182e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.820202020202020154e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825252525252525349e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.830303030303030321e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.835353535353535293e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.840404040404040487e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.845454545454545459e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.850505050505050431e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.855555555555555625e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.860606060606060597e+00,9.263942529436480777e-01,7.360574705635199166e-02,0.000000000000000000e+00
1.865656565656565569e+00,8.542813422045885119e-01,1.457186577954115159e-01,0.000000000000000000e+00
1.870707070707070763e+00,8.392113654379822485e-01,1.607886345620177515e-01,0.000000000000000000e+00
1.875757575757575735e+00,8.274015119011932651e-01,1.725984880988067349e-01,0.000000000000000000e+00
1.880808080808080707e+00,8.081854964967011279e-01,1.918145035032988166e-01,0.000000000000000000e+00
1.885858585858585901e+00,8.027014107601567749e-01,1.972985892398432251e-01,0.000000000000000000e+00
1.890909090909090873e+00,8.074706363010835108e-01,1.925293636989164614e-01,0.000000000000000000e+00
1.895959595959595845e+00,7.898631667007709467e-01,2.101368332992289700e-01,0.000000000000000000e+00
1.901010101010101039e+00,7.825084261390550244e-01,2.174915738609449756e-01,0.000000000000000000e+00
1.906060606060606011e+00,7.826615162284485949e-01,2.173384837715513218e-01,0.000000000000000000e+00
1.911111111111111205e+00,7.945743190328059535e-01,2.054256809671940742e-01,0.000000000000000000e+00
1.916161616161616177e+00,7.828983562146052400e-01,2.171016437853946768e-01,0.000000000000000000e+00
1.921212121212121149e+00,7.411695377765762371e-01,2.588304622234236518e-01,0.000000000000000000e+00
1.926262626262626343e+00,7.850733487432254298e-01,2.149266512567746257e-01,0.000000000000000000e+00
1.931313131313131315e+00,7.669946883698871565e-01,2.330053116301127880e-01,0.000000000000000000e+00
1.936363636363636287e+00,7.652295898014797038e-01,2.347704101985202407e-01,0.000000000000000000e+00
1.941414141414141481e+00,7.533820486899529545e-01,2.395634043428993831e-01,7.054546967147643302e-03
1.946464646464646453e+00,7.619387926903408159e-01,2.265818156640113379e-01,1.147939164564784620e-02
1.951515151515151425e+00,7.594116160852006914e-01,2.255320163161906588e-01,1.505636759860870706e-02
1.956565656565656619e+00,7.503611407802539546e-01,2.344329446117038585e-01,1.520591460804216616e-02
1.961616161616161591e+00,7.493027373124490076e-01,2.340472813620388115e-01,1.664998132551223989e-02
1.966666666666666563e+00,7.523899752904837923e-01,2.303663306963066315e-01,1.724369401320961434e-02
1.971717171717171757e+00,7.509978177770609831e-01,2.300600417616782134e-01,1.894214046126080353e-02
1.976767676767676729e+00,7.416193103780566176e-01,2.388994772183372084e-01,1.948121240360621911e-02
1.981818181818181701e+00,7.416104702045677177e-01,2.392202313047008533e-01,1.916929849073150879e-02
1.986868686868686895e+00,7.410225109223780304e-01,2.387984817821146577e-01,2.017900729550714187e-02
1.991919191919191867e+00,7.308308417332700646e-01,2.491924322670322489e-01,1.997672599969779750e-02
1.996969696969696839e+00,7.316755494137299198e-01,2.484537530448256704e-01,1.987069754144433001e-02
2.002020202020201811e+00,7.290692473698523468e-01,2.440912640403740952e-01,2.683948858977351984e-02
2.007070707070707005e+00,7.343424494311285855e-01,2.450475076823929177e-01,2.061004288647852803e-02
2.012121212121212199e+00,7.435846896205297041e-01,2.342724065198028838e-01,2.214290385966742603e-02
2.017171717171716949e+00,7.412736101576476999e-01,2.364414405541135633e-01,2.228494928823874718e-02
2.022222222222222143e+00,7.340958236856308661e-01,2.431648090630570413e-01,2.273936725131209605e-02
2.027272727272727337e+00,7.418755262278596829e-01,2.348934114151890740e-01,2.323106235695131597e-02
2.032323232323232087e+00,7.358218556430990986e-01,2.417347970294825843e-01,2.244334732741828584e-02
2.037373737373737281e+00,7.367331897093994941e-01,2.398517909203001508e-01,2.341501937030036895e-02
2.042424242424242475e+00,7.342242588285021743e-01,2.421365751340492367e-01,2.363916603744865841e-02
2.047474747474747225e+00,7.368756047315687674e-01,2.386176989959123140e-01,2.450669627251882490e-02
2.052525252525252419e+00,7.356645723849938312e-01,2.412001401485671104e-01,2.313528746643922149e-02
2.057575757575757613e+00,7.263900241499197108e-01,2.493847568992204611e-01,2.422521895085973098e-02
2.062626262626262807e+00,7.356955120824130168e-01,2.400701028236038870e-01,2.423438509398308585e-02
2.067676767676767557e+00,7.277013546537963729e-01,2.484677309747628515e-01,2.383091437144078603e-02
2.072727272727272751e+00,7.358953302611267455e-01,2.386271266353147957e-01,2.547754310355845875e-02
2.077777777777777501e+00,7.294541280303420416e-01,2.445382998206998004e-01,2.600757214895817529e-02
2.082828282828282696e+00,7.394251228738693005e-01,2.358256828848434294e-01,2.474919424128731518e-02
2.087878787878787890e+00,7.285314293922509066e-01,2.457596935775127611e-01,2.570887703023624557e-02
2.092929292929293084e+00,7.315219250740382373e-01,2.429964286798035611e-01,2.548164624615812876e-02
2.097979797979797834e+00,7.320443939138109313e-01,2.435805319541618219e-01,2.437507413202718437e-02
2.103030303030303028e+00,7.303131627981558349e-01,2.443089484731165162e-01,2.537788872872756910e-02
2.108080808080807778e+00,7.326578308264962702e-01,2.431714772278609771e-01,2.417069194564281168e-02
2.113131313131312972e+00,7.308238565295089861e-01,2.440250995894439057e-01,2.515104388104706656e-02
2.118181818181818166e+00,7.221789935596477639e-01,2.515553313936423896e-01,2.626567504670974593e-02
2.123232323232323360e+00,7.331837848217526155e-01,2.417873980037253678e-01,2.502881717452192650e-02
2.128282828282828110e+00,7.229574890519525621e-01,2.512949475837604196e-01,2.574756336428713627e-02
2.133333333333333304e+00,7.318623549566061204e-01,2.431093804703393924e-01,2.502826457305452890e-02
2.138383838383838054e+00,7.333807647929149187e-01,2.406862236291039125e-01,2.593301157798129711e-02
2.143434343434343248e+00,7.242910057637472754e-01,2.500799798090368453e-01,2.562901442721591053e-02
2.148484848484848442e+00,7.320111320037459013e-01,2.420439941292664987e-01,2.594487386698755144e-02
2.153535353535353636e+00,7.221298420820149166e-01,2.524490886723910199e-01,2.542106924559400793e-02
2.158585858585858386e+00,7.298695165389373907e-01,2.444016736499423359e-01,2.572880981112033935e-02
2.163636363636363580e+00,7.228203166735100993e-01,2.519298328332658099e-01,2.524985049322407693e-02
2.168686868686868330e+00,7.225387936347739126e-01,2.511066992396983610e-01,2.635450712552766736e-02
2.173737373737373524e+00,7.232177940593802479e-01,2.516145917553755940e-01,2.516761418524425878e-02
2.178787878787878718e+00,7.229173066966297911e-01,2.506008428235166896e-01,2.648185047985362681e-02
2.183838383838383912e+00,7.279415199506596990e-01,2.463991075029066391e-01,2.565937254643366888e-02
2.188888888888888662e+00,7.218137222400061725e-01,2.519120000525008063e-01,2.627427770749306973e-02
2.193939393939393856e+00,7.223194922461384504e-01,2.513096038061451987e-01,2.637090394771623991e-02
2.198989898989899050e+00,7.205518562594321885e-01,2.531021832491970880e-01,2.634596049137077553e-02
2.204040404040403800e+00,7.228410327287190240e-01,2.511282035913889876e-01,2.603076367989205428e-02
2.209090909090908994e+00,7.223654665527995400e-01,2.503002491059783119e-01,2.733428434122218281e-02
2.214141414141414188e+00,7.215470208235829075e-01,2.523339459266387141e-01,2.611903324977826041e-02
2.219191919191918938e+00,7.226753529861789094e-01,2.500595149730492350e-01,2.726513204077190070e-02
2.224242424242424132e+00,7.234479406324239026e-01,2.504354054187299949e-01,2.611665394884616492e-02
2.229292929292929326e+00,7.239741667625074761e-01,2.500316314038226739e-01,2.599420183366992973e-02
2.234343434343434076e+00,7.215989544605261319e-01,2.508404300380730478e-01,2.756061550140093130e-02
2.239393939393939270e+00,7.239455409239655692e-01,2.497575588841212391e-01,2.629690019191317785e-02
2.244444444444444464e+00,7.235984291063037865e-01,2.491107395655509371e-01,2.729083132814513757e-02
2.249494949494949214e+00,7.152759082703660232e-01,2.576428297890656638e-01,2.708126194056838937e-02
2.254545454545454408e+00,7.223329217071049468e-01,2.502938455049846800e-01,2.737323278791035236e-02
2.259595959595959602e+00,7.258114139991128644e-01,2.470315457397961323e-01,2.715704026109095823e-02
2.264646464646464352e+00,7.175901367195712810e-01,2.554381908624624442e-01,2.697167241796628520e-02
2.269696969696969546e+00,7.244378549614702845e-01,2.483154917697417419e-01,2.724665326878799795e-02
2.274747474747474740e+00,7.262773906469647267e-01,2.467308031230984189e-01,2.699180622993689604e-02
2.279797979797979490e+00,7.188847353153319242e-01,2.531563518072215135e-01,2.795891287744651371e-02
2.284848484848484684e+00,7.249292562098246240e-01,2.479800503378571663e-01,2.709069345231815418e-02
2.289898989898989878e+00,7.176499551870998417e-01,2.545291652196647880e-01,2.782087959323539458e-02
2.294949494949494628e+00,7.194394867181475028e-01,2.527665680074216437e-01,2.779394527443095064e-02
2.299999999999999822e+00,7.253425767874491781e-01,2.477026672784551076e-01,2.695475593409580109e-02
